FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Clint Capela,Atl,C,27,63,30.1,227,0.573,696,0.595,0,0,0.602,15.2,14.3,0.8,0.7,2.05,1.16
Tyler Herro,Mia,G,21.32,54,30.3,117,0.803,402,0.498,297,0.36,0.543,15.1,4.9,3.4,0.65,0.31,1.87
Coby White,Chi,G,21.25,69,31.2,142,0.901,448,0.473,454,0.359,0.54,15.1,4.1,4.8,0.55,0.22,2.26
De'Andre Hunter,Atl,F-G,23.46,23,29.5,85,0.859,153,0.582,95,0.326,0.603,15,4.8,1.9,0.83,0.52,1.26
Gary Trent Jr.,Por,G-F,22.33,41,30.8,75,0.773,219,0.438,305,0.397,0.55,15,2.2,1.4,0.9,0.15,0.76
Derrick Rose,Nyk,G,32.61,35,26.8,77,0.883,337,0.507,90,0.411,0.565,14.9,2.9,4.2,0.89,0.43,1.4
Devonte' Graham,Cha,G,26.23,55,30.2,158,0.842,192,0.38,477,0.375,0.552,14.8,2.7,5.4,0.87,0.11,1.53
Lonzo Ball,Nor,G,23.55,55,31.8,64,0.781,245,0.482,455,0.378,0.551,14.6,4.8,5.7,1.49,0.56,2.24
Aaron Gordon,Orl,F,25.67,25,29.4,105,0.629,181,0.475,112,0.375,0.537,14.6,6.6,4.2,0.64,0.8,2.68
Kendrick Nunn,Mia,G,25.79,56,29.5,60,0.933,338,0.583,320,0.381,0.596,14.6,3.2,2.6,0.96,0.25,1.43
Deandre Ayton,Pho,C,22.82,69,30.6,173,0.769,667,0.639,20,0.2,0.653,14.4,10.5,1.4,0.59,1.17,1.48
Jaren Jackson Jr.,Mem,F-C,21.67,11,23.5,42,0.833,65,0.554,60,0.283,0.551,14.4,5.6,1.1,1.09,1.64,1.36
Thomas Bryant,Was,C-F,23.8,10,27.1,24,0.667,70,0.714,21,0.429,0.704,14.3,6.1,1.5,0.4,0.8,1.1
Rudy Gobert,Uta,C,28.89,71,30.8,374,0.623,575,0.68,4,0,0.683,14.3,13.5,1.3,0.56,2.68,1.66
Ben Simmons,Phi,G-F,24.82,58,32.4,287,0.613,573,0.562,10,0.3,0.584,14.3,7.2,6.9,1.6,0.6,2.98
Richaun Holmes,Sac,F,27.59,61,29.2,170,0.794,564,0.645,11,0.182,0.669,14.2,8.3,1.7,0.64,1.56,1.23
Al Horford,Okc,C-F,34.95,28,27.9,22,0.818,208,0.51,152,0.368,0.538,14.2,6.7,3.4,0.89,0.93,1.04
Derrick Rose,Det,G,32.61,15,22.8,50,0.84,145,0.455,39,0.333,0.517,14.2,1.9,4.2,1.2,0.27,1.93
