FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,TrueSP,PointsPG,ReboundsPG,AssistsPG,StealsPG,BlocksPG,TurnOversPG
Anthony Lamb,Hou,F,23.32,24,17.3,21,0.857,47,0.489,71,0.324,0.523,5.5,2.9,1,0.25,0.21,0.79
Garrison Mathews,Was,G,24.56,64,16.2,95,0.884,39,0.538,198,0.384,0.635,5.5,1.4,0.4,0.45,0.11,0.16
JaVale McGee,Den,C-F,33.32,13,13.5,12,0.667,63,0.508,4,0,0.498,5.5,5.3,0.5,0.23,1.08,1.15
Devin Vassell,San,G-F,20.73,62,17,51,0.843,153,0.464,150,0.347,0.524,5.5,2.8,0.9,0.69,0.29,0.35
Derrick Favors,Uta,F,29.84,68,15.3,80,0.738,241,0.643,2,0,0.663,5.4,5.5,0.6,0.47,1,0.53
Taj Gibson,Nyk,F,35.9,45,20.8,55,0.727,143,0.671,15,0.2,0.661,5.4,5.6,0.8,0.69,1.09,0.49
Tyler Johnson,Bro,G,29.03,39,17.5,21,0.857,51,0.471,132,0.364,0.546,5.4,2,1.2,0.36,0,0.44
Damian Jones,Lal,C,25.88,8,14,12,0.917,17,0.941,0,0,0.965,5.4,3.3,0.1,0.13,0.88,0.63
Jahlil Okafor,Det,C-F,25.42,27,12.9,24,0.708,92,0.663,9,0.222,0.65,5.4,2.4,0.5,0.22,0.19,0.78
Josh Okogie,Min,G,22.71,59,20.3,108,0.769,146,0.5,108,0.269,0.524,5.4,2.6,1.1,0.92,0.47,0.73
Justin Patton,Hou,C,23.92,13,19,4,0.75,36,0.556,34,0.265,0.488,5.4,3.8,1.1,0.92,1.08,0.31
Jarred Vanderbilt,Min,F,22.12,64,17.8,102,0.559,231,0.615,5,0.2,0.612,5.4,5.8,1.2,1,0.73,0.83
Khem Birch,Orl,C,28.63,48,19.8,85,0.741,188,0.479,21,0.19,0.517,5.3,5.1,1.1,0.67,0.58,0.48
Willie Cauley-Stein,Dal,C,27.75,53,17.1,78,0.628,171,0.667,11,0.091,0.647,5.3,4.5,0.7,0.4,0.81,0.55
Jarrett Culver,Min,G-F,22.24,34,14.7,48,0.604,115,0.487,53,0.245,0.476,5.3,3.1,0.7,0.5,0.26,0.82
Gorgui Dieng,San,C,31.33,16,11.3,24,0.833,33,0.667,22,0.318,0.648,5.3,2.6,1.2,0.56,0.13,0.63
Glenn Robinson III,Sac,F,27.35,23,16.1,23,0.913,55,0.473,44,0.364,0.554,5.3,2,0.9,0.17,0.13,0.48
Tony Snell,Atl,G,29.52,47,21.1,11,1,62,0.419,109,0.569,0.708,5.3,2.4,1.3,0.28,0.23,0.45
Avery Bradley,Hou,G,30.47,17,23,6,0.833,42,0.381,63,0.27,0.409,5.2,2.3,1.9,0.82,0.18,1.12
Chandler Hutchison,Was,F-G,25.06,18,15.7,23,0.826,66,0.409,19,0.368,0.494,5.2,3.2,0.7,0.61,0.28,0.83
Alize Johnson,Bro,F,25.07,18,10.5,13,1,62,0.629,6,0.167,0.638,5.2,5,0.8,0.28,0.28,0.5
Patrick Patterson,Lac,F,32.18,38,15.3,17,0.765,53,0.604,112,0.357,0.571,5.2,2,0.8,0.37,0.21,0.29
Dylan Windler,Cle,G-F,24.65,31,16.5,27,0.778,53,0.585,78,0.333,0.563,5.2,3.5,1.1,0.61,0.39,1.03
Goga Bitadze,Ind,C-F,21.83,45,12.5,61,0.738,115,0.548,79,0.253,0.523,5.1,3.3,0.8,0.2,1.33,0.38
Sekou Doumbouya,Det,F,20.4,56,15.5,64,0.703,167,0.485,115,0.226,0.459,5.1,2.6,0.8,0.43,0.16,0.79
Jake Layman,Min,F,27.2,45,13.9,37,0.703,106,0.642,78,0.295,0.577,5.1,1.5,0.6,0.64,0.42,0.58
Nerlens Noel,Nyk,C-F,27.1,64,24.2,70,0.714,221,0.62,3,0,0.636,5.1,6.4,0.7,1.09,2.2,1.02
Precious Achiuwa,Mia,F,21.66,61,12.1,110,0.509,227,0.546,1,0,0.55,5,3.4,0.5,0.33,0.46,0.7
Bismack Biyombo,Cha,C,28.72,66,20.4,105,0.448,241,0.589,1,0,0.574,5,5.3,1.2,0.26,1.12,1.08
Nemanja Bjelica,Mia,F,33.02,11,14.2,9,0.556,19,0.526,27,0.37,0.55,5,2.5,1.8,0.64,0.27,0.45
Marc Gasol,Lal,C,36.3,52,19.1,50,0.72,72,0.528,122,0.41,0.606,5,4.1,2.1,0.5,1.12,1.02
Trey Lyles,San,F,25.53,23,15.6,23,0.652,50,0.58,40,0.35,0.574,5,3.7,0.6,0.26,0.04,0.26
Caleb Martin,Cha,F,25.63,53,15.4,64,0.641,131,0.496,125,0.248,0.465,5,2.7,1.3,0.7,0.23,0.62
Jordan McLaughlin,Min,G,25.1,51,18.4,30,0.767,150,0.447,92,0.359,0.502,5,2.1,3.8,1,0.12,1
Brandon Goodwin,Atl,G,25.62,47,13.2,43,0.651,120,0.433,103,0.311,0.471,4.9,1.5,2,0.36,0,0.77
DaQuan Jeffries,Hou,G-F,23.71,13,20.1,1,1,24,0.625,39,0.282,0.504,4.9,3.2,1.2,0.62,0.46,0.46
E'Twaun Moore,Pho,G,32.22,27,14.4,14,0.857,86,0.512,35,0.314,0.523,4.9,1.7,1.5,0.56,0.19,0.85
Jerome Robinson,Was,G,24.23,17,17.9,20,0.8,53,0.321,42,0.262,0.4,4.9,2.2,1.5,0.71,0.35,1.12
Langston Galloway,Pho,G,29.44,40,10.9,23,0.957,62,0.484,85,0.424,0.605,4.8,1.1,0.7,0.2,0,0.33
Wesley Matthews,Lal,G,34.59,58,19.5,41,0.854,55,0.418,197,0.335,0.517,4.8,1.6,0.9,0.64,0.28,0.45
Gabe Vincent,Mia,G,24.92,50,13.1,23,0.87,84,0.5,149,0.309,0.498,4.8,1.1,1.3,0.42,0.04,0.68
Daniel Gafford,Chi,F-C,22.63,31,12.4,41,0.659,87,0.69,0,0,0.7,4.7,3.3,0.5,0.35,1.1,0.71
Rodney Hood,Por,G-F,28.57,38,19.1,12,0.75,117,0.41,84,0.298,0.436,4.7,1.9,1.2,0.53,0.11,0.82
Boban Marjanovic,Dal,C,32.75,33,8.2,38,0.816,114,0.535,8,0.125,0.562,4.7,3.9,0.3,0.06,0.18,0.36
Aaron Nesmith,Bos,G-F,21.58,46,14.5,28,0.786,70,0.543,108,0.37,0.573,4.7,2.8,0.5,0.33,0.2,0.5
Brad Wanamaker,Gol,G,31.81,39,16,56,0.893,112,0.429,61,0.213,0.468,4.7,1.7,2.5,0.67,0.15,0.95
Grant Williams,Bos,F,22.46,63,18.1,51,0.588,118,0.508,129,0.372,0.546,4.7,2.8,1,0.51,0.37,0.89
Yogi Ferrell,Lac,G,28.02,8,12.1,7,1,17,0.353,19,0.316,0.473,4.6,1.5,2.1,0.5,0.25,0
Nassir Little,Por,F-G,21.26,48,13.3,45,0.8,87,0.575,80,0.35,0.589,4.6,2.7,0.5,0.1,0.27,0.38
Semi Ojeleye,Bos,F,26.45,56,17,32,0.75,63,0.492,158,0.367,0.553,4.6,2.6,0.7,0.3,0,0.38
Onyeka Okongwu,Atl,F-C,20.43,50,12,57,0.632,146,0.658,3,0,0.655,4.6,3.3,0.4,0.46,0.66,0.58
JaKarr Sampson,Ind,F,28.16,29,10.9,29,0.655,98,0.541,15,0.2,0.533,4.6,2.7,0.1,0.07,0.48,0.52
Kelan Martin,Ind,F,25.79,35,9.2,10,0.9,78,0.487,60,0.4,0.551,4.5,2.2,0.5,0.29,0.29,0.46
Charlie Brown Jr.,Okc,G,23.29,9,16.9,10,0.9,22,0.364,21,0.238,0.422,4.4,1.9,1,0.44,0.22,0.67
Solomon Hill,Atl,F,30.16,71,21.3,46,0.761,85,0.447,212,0.321,0.496,4.4,3,1.1,0.7,0.15,0.59
Andre Iguodala,Mia,G-F,37.3,63,21.3,38,0.658,66,0.53,182,0.33,0.519,4.4,3.5,2.3,0.92,0.52,1.06
Stanley Johnson,Tor,F-G,24.97,61,16.5,55,0.8,96,0.458,137,0.328,0.519,4.4,2.5,1.5,0.85,0.31,0.89
Luke Kornet,Bos,F-C,25.84,18,14.1,2,0.5,38,0.684,36,0.25,0.534,4.4,2.9,1.1,0.11,1.39,0.33
JJ Redick,Dal,G,36.89,13,11.3,5,0.8,15,0.267,38,0.395,0.516,4.4,0.9,0.8,0.15,0.08,0.85
P.J. Tucker,Hou,F,36.03,32,30,23,0.783,45,0.467,86,0.314,0.5,4.4,4.6,1.4,0.88,0.56,1.03
Yuta Watanabe,Tor,G-F,26.59,50,14.5,29,0.828,90,0.478,90,0.4,0.565,4.4,3.2,0.8,0.52,0.4,0.38
Troy Brown Jr.,Was,G-F,21.8,21,13.7,15,0.667,43,0.442,46,0.304,0.471,4.3,2.9,0.9,0.14,0.19,0.76
Devin Cannady,Orl,G,24.99,8,9.3,7,0.857,12,0.417,16,0.375,0.547,4.3,0.6,0.1,0.63,0.13,0.25
Mfiondu Kabengele,Cle,F-C,23.76,16,11.6,14,0.786,25,0.6,32,0.281,0.538,4.3,2.9,0.8,0.38,0.63,0.56
John Konchar,Mem,G,25.15,43,13.4,30,0.833,82,0.585,56,0.375,0.608,4.3,3,1.1,0.7,0.21,0.42
Javonte Green,Bos,G-F,27.82,25,13.8,30,0.667,49,0.653,22,0.318,0.624,4.2,2.1,0.4,0.72,0.08,0.52
Mike Scott,Phi,F,32.83,51,16.7,12,0.667,56,0.411,155,0.342,0.492,4.2,2.4,0.8,0.47,0.27,0.37
Jevon Carter,Pho,G,25.67,60,11.9,7,0.571,72,0.528,151,0.371,0.548,4.1,1.5,1.2,0.48,0.15,0.27
Josh Hall,Okc,F,20.6,21,16,44,0.5,62,0.419,37,0.108,0.363,4.1,2.8,1.3,0.19,0.05,1.19
Kevon Looney,Gol,F,25.27,61,19,48,0.646,180,0.578,17,0.235,0.575,4.1,5.3,1.9,0.36,0.36,0.61
Nico Mannion,Gol,G,20.18,30,12.1,28,0.821,53,0.321,60,0.367,0.491,4.1,1.5,2.3,0.53,0.03,1.07
Darius Miller,Okc,F,31.16,18,10.9,12,1,6,0.833,42,0.405,0.685,4.1,1.3,1.2,0.67,0.28,0.44
Lamar Stevens,Cle,F,23.86,40,12.5,51,0.725,111,0.523,25,0.16,0.521,4.1,2.4,0.6,0.43,0.33,0.58
Brodric Thomas,Cle,G,24.3,28,13.4,39,0.667,48,0.458,53,0.283,0.487,4.1,1.8,0.9,0.5,0.32,0.64
Obi Toppin,Nyk,F,23.2,62,11,26,0.731,124,0.629,85,0.306,0.574,4.1,2.2,0.5,0.27,0.24,0.37
Paul Watson,Tor,G,26.38,27,11,8,0.625,18,0.444,64,0.469,0.649,4.1,1.7,0.6,0.19,0.11,0.33
Jordan Bone,Orl,G,23.53,14,14,0,0,22,0.591,32,0.313,0.519,4,1.7,1.3,0.14,0,0.21
Chris Chiozza,Bro,G,25.49,22,10.6,17,0.765,46,0.391,42,0.31,0.461,4,1.1,3,0.32,0.27,0.73
Carsen Edwards,Bos,G,23.18,31,8.9,13,0.846,48,0.604,63,0.286,0.527,4,0.8,0.5,0.23,0.03,0.23
Udonis Haslem,Mia,F,40.94,1,2.7,0,0,2,1,0,0,1,4,1,0,0,0,0
Cody Martin,Cha,F,25.63,52,16.3,43,0.581,130,0.515,58,0.276,0.5,4,3.1,1.7,0.73,0.23,0.77
Nicolo Melli,Dal,F,30.3,23,14.1,18,0.722,34,0.441,48,0.333,0.506,4,2.8,0.8,0.26,0.13,0.22
Rodney Hood,Tor,G-F,28.57,17,12.7,16,0.938,30,0.4,29,0.31,0.5,3.9,1.8,0.4,0.24,0.18,0.29
Justin James,Sac,G-F,24.31,36,8.6,36,0.583,73,0.521,38,0.368,0.548,3.9,0.8,0.6,0.22,0.08,0.42
Kevin Knox II,Nyk,F,21.77,42,11.1,20,0.8,54,0.389,89,0.393,0.537,3.9,1.5,0.5,0.29,0.14,0.4
Rajon Rondo,Atl,G,35.23,27,14.9,2,0.5,65,0.415,45,0.378,0.478,3.9,2,3.5,0.7,0.07,1.44
Matisse Thybulle,Phi,G-F,24.2,65,20,18,0.444,100,0.59,143,0.301,0.508,3.9,1.9,1,1.62,1.09,0.49
Dante Exum,Cle,G,25.84,6,19.4,2,0.5,15,0.533,11,0.182,0.428,3.8,2.8,2.2,0.67,0.33,1.17
Ersan Ilyasova,Uta,F,34.01,17,8.7,5,1,13,0.231,41,0.439,0.578,3.8,1.7,0.2,0.59,0.18,0.47
Nathan Knight,Atl,F-C,23.66,33,8.4,55,0.8,66,0.47,33,0.182,0.503,3.8,2.2,0.2,0.27,0.3,0.45
Thon Maker,Cle,F-C,20,8,9.6,11,0.909,16,0.625,2,0,0.657,3.8,2.3,0.5,0.25,0.5,0.38
Skylar Mays,Atl,G,23.7,33,8.2,25,0.88,58,0.517,40,0.35,0.569,3.8,1.1,0.9,0.42,0.06,0.27
Tremont Waters,Bos,G,23.35,26,9.1,17,0.941,46,0.413,38,0.395,0.541,3.8,0.8,2.4,0.58,0.04,1.04
Isaiah Joe,Phi,G,21.87,41,9.3,24,0.75,27,0.333,106,0.368,0.533,3.7,0.9,0.5,0.29,0.1,0.27
Luka Samanic,San,F,21.35,33,9.3,29,0.552,62,0.565,43,0.279,0.518,3.7,2.1,0.5,0.24,0.24,0.61
Matt Thomas,Uta,G,26.78,19,7.1,7,0.857,26,0.615,39,0.256,0.499,3.6,1.2,0.5,0.11,0,0.42
D.J. Wilson,Mil,F,25.24,12,8.7,2,0.5,15,0.4,28,0.357,0.49,3.6,2.1,0.3,0.08,0.33,0.33
Isaiah Hartenstein,Den,C-F,23.03,30,9.1,36,0.611,80,0.513,0,0,0.543,3.5,2.8,0.5,0.37,0.67,0.7
DaQuan Jeffries,Sac,G-F,23.71,18,12.9,7,0.857,29,0.517,28,0.321,0.524,3.5,1.6,0.3,0.39,0.22,0.44
Gary Clark,Orl,F,26.5,35,18.2,10,0.8,23,0.391,108,0.287,0.439,3.4,3.2,0.9,0.34,0.2,0.49
Wenyen Gabriel,Nor,F,24.14,21,11.5,17,0.647,28,0.393,32,0.406,0.533,3.4,2.6,0.5,0.43,0.38,0.71
Paul Reed,Phi,F,21.92,26,6.8,8,0.5,72,0.583,6,0,0.54,3.4,2.3,0.5,0.38,0.5,0.46
Sindarius Thornwell,Orl,G,26.5,7,20.5,6,0.667,11,0.364,14,0.286,0.434,3.4,1.9,2.4,1,0.14,0.43
Shaquille Harrison,Den,G,27.61,17,16.3,16,0.813,44,0.386,14,0.214,0.431,3.3,2.3,0.9,0.88,0.29,0.35
Meyers Leonard,Mia,F-C,29.22,3,9.8,2,0.5,0,0,7,0.429,0.635,3.3,2.3,0.7,0,0,0.67
Zeke Nnaji,Den,F-C,20.35,41,9.5,15,0.8,44,0.591,57,0.421,0.632,3.3,1.6,0.2,0.17,0.1,0.17
Amir Coffey,Lac,G-F,23.92,44,9,38,0.711,47,0.468,56,0.411,0.585,3.2,1,0.5,0.23,0,0.34
Killian Tillie,Mem,F-C,23.2,18,10.1,11,0.818,24,0.375,33,0.303,0.461,3.2,1.3,0.4,0.28,0.44,0.11
Ryan Arcidiacono,Chi,G,27.14,44,10.2,20,0.65,50,0.48,67,0.373,0.541,3.1,1.5,1.3,0.2,0,0.23
Mamadi Diakite,Mil,F,24.32,14,10.1,14,0.786,32,0.469,8,0.125,0.477,3.1,2.4,0.6,0.5,0.43,0.21
Anthony Gill,Was,F,28.58,26,8.4,16,0.813,36,0.639,24,0.292,0.597,3.1,2,0.4,0.38,0.15,0.31
Romeo Langford,Bos,G-F,21.56,18,15.7,12,0.75,41,0.39,18,0.278,0.436,3.1,1.9,0.7,0.33,0.22,0.56
Alfonzo McKinnie,Lal,F,28.66,39,6.6,18,0.556,54,0.593,39,0.41,0.604,3.1,1.4,0.2,0.18,0,0.13
Jahmi'us Ramsey,Sac,G,19.94,13,7.3,5,1,19,0.526,19,0.263,0.498,3.1,0.8,0.5,0.31,0.08,0.23
Rodions Kurucs,Mil,F,23.28,5,6.7,2,1,4,0.5,4,0.75,0.845,3,1.8,0.8,0.6,0,0.8
Sam Merrill,Mil,G,25,30,7.8,4,1,25,0.44,47,0.447,0.603,3,1,0.7,0.27,0.03,0.33
Norvel Pelle,Sac,C,28.28,1,3.8,4,0.75,1,0,0,0,0.543,3,1,1,0,0,0
Reggie Perry,Bro,F-C,21.15,26,8.1,13,0.769,57,0.491,21,0.19,0.466,3,2.8,0.5,0.23,0.23,0.58
Dennis Smith Jr.,Nyk,G,23.47,3,9.2,6,0.833,6,0.333,4,0,0.356,3,0.7,1,1,0,0.33
Thanasis Antetokounmpo,Mil,F,28.83,57,9.7,49,0.51,108,0.556,29,0.241,0.523,2.9,2.2,0.8,0.39,0.18,0.75
Trent Forrest,Uta,G,22.93,30,10.1,19,1,45,0.6,26,0.192,0.554,2.9,1.5,1.5,0.3,0.13,0.7
Jordan Bell,Was,F,26.36,5,13.4,0,0,18,0.389,2,0,0.35,2.8,3.8,1,0.6,0.6,0.6
Bruno Caboclo,Hou,F,25.65,6,6.1,2,0.5,12,0.667,5,0,0.475,2.8,2.3,0.2,0,0.33,0.67
Matthew Dellavedova,Cle,G,30.69,13,17.2,4,1,31,0.323,25,0.16,0.312,2.8,1.8,4.5,0.31,0.08,0.46
Harry Giles III,Por,F-C,23.07,38,9.2,27,0.593,74,0.459,23,0.348,0.496,2.8,3.5,0.8,0.21,0.34,0.53
Kyle Guy,Sac,G,23.77,31,7.6,20,0.8,42,0.381,46,0.283,0.449,2.8,1.1,1,0.19,0,0.35
Markus Howard,Den,G,22.21,37,5.5,9,0.778,41,0.537,65,0.277,0.477,2.8,0.6,0.5,0.11,0.03,0.49
Wes Iwundu,Nor,F,26.41,18,14,17,0.824,32,0.469,18,0.111,0.435,2.8,2.6,0.4,0.33,0.06,0.72
Mason Jones,Phi,G,22.82,6,4.5,7,0.714,7,0.571,2,0.5,0.662,2.7,0.7,0.5,0.17,0,0.17
Marcos Louzada Silva,Nor,G,20,3,18.8,0,0,5,0.2,8,0.25,0.308,2.7,1,1,0.67,0,1
Frank Ntilikina,Nyk,G,22.8,33,9.8,18,0.444,31,0.194,48,0.479,0.512,2.7,0.9,0.6,0.55,0.12,0.33
Jabari Parker,Sac,F,26.17,3,9.1,0,0,6,0.667,1,0,0.571,2.7,2,0.3,0,0.33,1
Chris Silva,Mia,F,24.66,11,7.5,15,0.733,12,0.667,1,1,0.765,2.7,2.3,0.5,0.09,0.45,0.82
Matt Thomas,Tor,G,26.78,26,7.4,7,0.857,21,0.333,41,0.415,0.545,2.7,0.8,0.3,0.08,0,0.23
Keita Bates-Diop,San,F,25.31,30,8.2,21,0.667,50,0.5,17,0.294,0.518,2.6,1.6,0.4,0.37,0.17,0.23
Amida Brimah,Ind,C,27.26,5,5.9,3,1,8,0.625,0,0,0.697,2.6,1.6,0.2,0,1,0.8
Tacko Fall,Bos,C,25.43,18,7.5,15,0.333,29,0.724,0,0,0.66,2.6,2.9,0.2,0.06,1.11,0.33
Javonte Green,Chi,G-F,27.82,16,8,10,1,23,0.478,8,0.375,0.579,2.6,1.2,0.4,0.63,0.25,0.38
Josh Green,Dal,G,20.5,39,11.4,23,0.565,68,0.559,25,0.16,0.49,2.6,2,0.7,0.41,0.08,0.44
R.J. Hampton,Den,G,20.27,25,9.3,12,0.75,42,0.476,18,0.278,0.49,2.6,2,0.6,0.2,0.08,0.44
Grant Riller,Cha,G,24.27,7,3.9,0,0,8,0.75,4,0.5,0.75,2.6,0.1,0.4,0.14,0,0.14
P.J. Tucker,Mil,F,36.03,20,19.8,5,0.6,13,0.385,33,0.394,0.539,2.6,2.8,0.8,0.5,0.1,0.35
Anderson Varejao,Cle,F,38.63,5,7.2,9,0.556,15,0.267,1,0,0.326,2.6,4,0.6,0,0.4,0.2
Torrey Craig,Mil,F,30.41,18,11.2,2,0.5,24,0.417,22,0.364,0.48,2.5,2.4,0.9,0.5,0.39,0.28
Rondae Hollis-Jefferson,Por,F,26.37,11,9.8,16,0.563,17,0.529,1,0,0.539,2.5,2.4,1.2,0.18,0.36,0.18
Tre Jones,San,G,21.35,37,7.3,19,0.895,73,0.466,5,0.6,0.544,2.5,0.6,1.1,0.22,0,0.35
KZ Okpala,Mia,F-G,22.05,37,12.1,15,0.533,46,0.522,50,0.24,0.448,2.5,1.8,0.5,0.27,0.3,0.41
Gary Payton II,Gol,G,28.46,10,4,4,0.75,9,0.889,4,0.5,0.847,2.5,1.1,0.1,0.6,0.1,0.1
Brodric Thomas,Hou,G,24.3,4,6.1,7,0.714,1,1,6,0.167,0.496,2.5,1,1,0.25,0.25,1
Vernon Carey Jr.,Cha,F-C,20.22,19,6,11,0.818,29,0.586,7,0.143,0.563,2.4,1.4,0.1,0.05,0.26,0.26
Jeremiah Martin,Cle,G,24.91,9,8.4,5,0.2,21,0.286,12,0.25,0.313,2.4,0.8,0.4,0.56,0.22,0.67
Rayjon Tucker,Phi,G,23.64,14,4.9,19,0.737,11,0.636,7,0.286,0.645,2.4,0.8,0.4,0.14,0,0.29
Jarrell Brantley,Uta,F,24.94,28,4.9,2,1,24,0.542,28,0.429,0.605,2.3,1,0.5,0.25,0.07,0.29
CJ Elleby,Por,F-G,20.92,30,6.4,15,0.733,32,0.563,34,0.206,0.468,2.3,1.1,0.3,0.2,0.1,0.17
Alex Len,Tor,C,27.92,7,10.8,6,0.5,4,0.5,6,0.5,0.633,2.3,1.6,0.4,0.14,0.86,1.14
Justin Robinson,Okc,G,23.6,9,9.8,5,0.6,7,0.429,14,0.286,0.453,2.3,0.8,1,0.33,0,0.22
Quinndary Weatherspoon,San,G,24.68,20,6.1,16,0.813,29,0.517,6,0.167,0.547,2.3,0.6,0.4,0.4,0.1,0.5
Bol Bol,Den,C-F,21.5,32,5,15,0.667,34,0.471,24,0.375,0.534,2.2,0.8,0.2,0.09,0.31,0.41
Sean McDermott,Mem,F,24.53,18,8.8,8,1,11,0.727,22,0.227,0.534,2.2,1.1,0.2,0.11,0.17,0.22
Vlatko Cancar,Den,F,24.1,41,6.9,13,0.769,40,0.6,33,0.273,0.54,2.1,1.2,0.3,0.27,0.05,0.34
Quinn Cook,Lal,G,28.15,16,3.9,5,0.8,13,0.538,13,0.385,0.585,2.1,0.3,0.3,0.06,0.06,0.19
Ed Davis,Min,C-F,31.95,23,13,12,0.833,44,0.432,0,0,0.487,2.1,5,0.9,0.57,0.57,0.3
Devon Dotson,Chi,G,21.79,11,4.6,0,0,14,0.714,7,0.143,0.548,2.1,0.5,0.6,0.36,0,0
Wes Iwundu,Dal,F,26.41,23,12.5,14,0.857,29,0.483,23,0.13,0.421,2.1,1.9,0.4,0.39,0.13,0.26
Deividas Sirvydis,Det,F-G,20.93,20,6.7,6,0.5,12,0.333,28,0.357,0.481,2.1,1.5,0.3,0.1,0,0.25
Isaac Bonga,Was,G,21.52,40,10.8,8,0.625,34,0.5,47,0.277,0.461,2,1.7,0.6,0.28,0.23,0.55
Devontae Cacok,Lal,F,24.6,20,4.9,11,0.455,29,0.586,0,0,0.576,2,1.6,0.1,0.25,0.2,0.2
Nate Hinton,Dal,G-F,21.94,21,4.4,10,0.7,23,0.478,19,0.211,0.442,2,0.4,0.4,0.29,0.1,0.24
Luke Kornet,Chi,F-C,25.84,13,7.2,4,0.5,4,0.75,23,0.261,0.452,2,1.2,0.3,0.15,0.54,0.08
Nicolo Melli,Nor,F,30.3,22,11,7,0.857,22,0.364,37,0.189,0.346,2,2.6,1.1,0.41,0.05,0.32
Norvel Pelle,Bro,C,28.28,3,9.3,0,0,7,0.429,0,0,0.429,2,2.3,0,0,1,1
Jontay Porter,Mem,C-F,21.5,11,4.9,5,0.6,7,0.714,8,0.375,0.64,2,1.3,0.1,0.27,0.09,0.64
Jalen Smith,Pho,F-C,21.17,27,5.8,7,0.714,33,0.545,17,0.235,0.499,2,1.4,0.1,0.04,0.19,0.26
Ray Spalding,Hou,F,24.18,2,9.4,2,0,3,0.667,1,0,0.41,2,2,0,0,1,1.5
Chandler Hutchison,Chi,F-G,25.06,7,9.1,2,1,15,0.267,3,0.333,0.344,1.9,2.9,0.6,0.14,0,0.71
Miye Oni,Uta,G-F,23.78,54,9.6,6,0.833,11,0.455,88,0.341,0.517,1.9,1.6,0.5,0.2,0.15,0.3
Alen Smailagic,Gol,F,20.74,15,5.6,6,0.333,17,0.412,10,0.4,0.472,1.9,1.1,0.3,0.2,0.33,0.33
Cassius Winston,Was,G,23.21,22,4.5,6,0.833,16,0.375,17,0.471,0.575,1.9,0.4,0.5,0.09,0.05,0.23
Daniel Oturu,Lac,C,21.66,30,5.4,12,0.75,47,0.447,5,0.2,0.471,1.8,1.6,0.3,0.17,0.23,0.3
Axel Toupane,Mil,G-F,20,8,7.7,7,0.714,9,0.333,2,0.5,0.497,1.8,0.8,0.5,0.25,0.38,0
Elijah Hughes,Uta,G,23.19,18,3.5,4,0.75,7,0.286,23,0.348,0.488,1.7,0.5,0.3,0.06,0.06,0.33
T.J. Leaf,Por,F,24.05,7,5.1,2,1,10,0.5,0,0,0.551,1.7,0.7,0.1,0.29,0.14,0.29
James Nunnally,Nor,F,30.84,9,5.3,2,0.5,1,1,12,0.333,0.54,1.7,1,0.3,0,0,0.22
Tim Frazier,Mem,G,30.54,5,12.4,6,0.333,12,0.25,8,0,0.177,1.6,1.6,3.2,0.4,0.2,0.8
Damian Jones,Pho,C,25.88,14,6.7,11,0.545,15,0.533,1,0,0.528,1.6,1.3,0.3,0.07,0.36,0.43
Al-Farouq Aminu,Chi,F,30.65,6,11.2,5,0.8,4,0.25,6,0.167,0.369,1.5,3.2,0.3,0.33,0,0.5
Bruno Fernando,Atl,F-C,22.75,33,6.8,22,0.682,42,0.429,2,0,0.475,1.5,2.4,0.3,0.12,0.09,0.64
Cassius Stanley,Ind,G,21.75,24,3.9,9,0.778,30,0.333,13,0.231,0.383,1.5,0.8,0,0.04,0.08,0.04
Anthony Tolliver,Phi,F,35.96,11,9,6,0.833,3,0,14,0.286,0.433,1.5,0.9,0.2,0.27,0.18,0.27
Robert Woodard II,Sac,F,21.65,13,3.5,8,0.375,14,0.5,6,0.167,0.425,1.5,1.2,0.2,0,0.23,0.08
Maurice Harkless,Mia,F-G,28.02,11,11.2,2,0,2,0,11,0.455,0.54,1.4,1.2,0.6,0.18,0.36,0.27
Nate Darling,Cha,G,22.71,7,3.7,3,1,0,0,7,0.286,0.541,1.3,0.1,0.1,0,0.14,0.14
Kris Dunn,Atl,G,27.16,4,11.4,4,0.75,10,0.1,2,0,0.182,1.3,1.5,0.5,0.5,0.5,0.75
Cristiano Felicio,Chi,F-C,28.86,18,4.6,16,0.563,11,0.636,2,0,0.574,1.3,1.4,0.5,0.22,0,0.22
Jalen Lecque,Ind,G,20.92,4,3,3,1,8,0.125,1,0,0.242,1.3,1.3,0.5,0,0,0
Marques Bolden,Cle,C,23.08,6,4.8,8,0.625,3,0.333,0,0,0.537,1.2,1,0,0.33,0.33,0.33
Mfiondu Kabengele,Lac,F-C,23.76,23,4.1,6,0.833,14,0.357,18,0.222,0.39,1.2,0.6,0.2,0.09,0.13,0.26
Rodions Kurucs,Hou,F,23.28,11,6.8,2,0.5,6,0.5,15,0.133,0.297,1.2,1,0.4,0.55,0.36,0.82
Juwan Morgan,Uta,F,24.08,29,5.1,7,0.429,17,0.588,13,0.308,0.529,1.2,1,0.3,0.14,0.03,0.14
Norvel Pelle,Nyk,C,28.28,9,5.8,2,0.5,7,0.714,0,0,0.698,1.2,1.2,0.1,0.11,0.67,0
Andre Roberson,Bro,G-F,29.45,5,12.6,2,0.5,6,0.167,8,0.125,0.202,1.2,3,0.8,0.6,0.2,0.4
